Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
Öl 1 $ 	Karlevi	Vickleby sn	Algutsrums hd	Mörbylånga		6275755.1538971	ja		0879 (Vickleby), 10 [objektid=10087900100001]			V s 900-t	RAK		sten	smålandsporfyr	runsten	västnordisk inskrift	B 1071; L 1323; DR 411	$=ATA Dnr 323-3515-2002; $=Gustavson 2002; Strid 1991:44; Svenska landsmål 1995 (321) s. 436 med n. 3; BN 1	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl1&showthumbnails=true
Öl 2 †$ 	Algutsrums kyrka	Algutsrums sn	Algutsrums hd	Mörbylånga		6283750.1544290			0785 (Algutsrum)			V	Pr3		sten		runsten		B 1076; L 1324	$=Plansch IV fig. 2, 145ff.; BN 2	
Öl 3 †$ 	Resmo kyrka	Resmo sn	Algutsrums hd	Mörbylånga		6268390.1539280			0858 (Resmo)			V efter 1050	Pr3 - Pr4?		sten		fragment av runsten	Parsten till Öl 4. Runföljden -unilu har av Bruce Nilsson lästs sueinu och tolkats Svæinu, Söderberg tolkar slutet som moður sina, Randvi.	L 1588, L 1589	$=SRI 1 plansch IV fig. 3; BN 5	
Öl 4 $ 	Resmo kyrka	Resmo sn	Algutsrums hd	Mörbylånga	Kalmar läns museum (KLM 24962)	6268390.1539280	nej		0858 (Resmo)			V efter 1050	Pr4		sten	grå kalksten	runsten	Parsten till Öl 3.	L 1588, L 1589	$=ATA Dnr 4707/43; BN 4	
Öl 5 † 	Bårby	Mörbylånga sn	Algutsrums hd	Mörbylånga		6264000.1538250			0849 (Mörbylånga)			V	Pr3		sten		runsten		L 1320	BN 10	
Öl 6 $ 	Mörbylånga kyrkogård	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265940.1536510			0849 (Mörbylånga)			V	Pr4		sten	grå kalksten	runsten	Ett fragment återfunnet 1964.	B 1074; L 1569	$=ATA Dnr 3960/71; BN 11	
Öl 7 †$ 	Mörbylånga kyrka	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265940.1536510			0849 (Mörbylånga)			V	Pr3		sten		runsten		B 1072; L 1319	$=Bautil 1072 (SRI 1 plansch VI fig. 7); SRI 1 s. 148; BN 12	
Öl 8 †M 	Mörbylånga kyrkogård	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265940.1536510			0849 (Mörbylånga)			M s 1100-t			sten		gravhäll		B 1073; L 2057	SRI 1 s. 145ff; BN 13	
Öl 9 † 	Kastlösa kyrka	Kastlösa sn	Gräsgårds hd	Mörbylånga		6259160.1538460			0828 (Kastlösa)			V	Pr2 - Pr3?		sten		runsten		B 1063; L 1318	BN 19	
Öl 10 †$ 	Alvlösa	Smedby sn	Gräsgårds hd	Mörbylånga		6255100.1538925			0866 (Smedby)			V	Pr2 - Pr3?		sten		runsten	Williams (2004) ger inget förslag till tolkning av runföljden fatran.	B 1064; L 1317	$=SRI 1 plansch VII fig. 10, plansch XXXVI fig. 64; $=SRI 1 s. 142f; $=Williams 2004a; BN 20	
Öl 11 $ 	Alvlösa	Smedby sn	Gräsgårds hd	Mörbylånga		6254924.1538831			0866 (Smedby), 19 [objektid=10086600190001]			V	?		sten	grå kalksten	fragment av runsten			$=ATA Dnr 4704/43; BN 21	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl11&showthumbnails=true
Öl 12 †$ 	Smedby kyrkogård	Smedby sn	Gräsgårds hd	Mörbylånga		6253443.1538727			0866 (Smedby), 120 [objektid=10086601200001]			V	Pr2 - Pr3?		sten		runsten	Runföljden aynt- placeras under Otolkade belägg i NRL, s. 297.	B 1065; L 1316	$=SRI 1 plansch IX fig. 12, plansch XXXVI fig. 65; BN 22	
Öl 13 †$ 	Södra Möckleby	Södra Möckleby sn	Gräsgårds hd	Mörbylånga		6247821.1538112			0869 (Södra Möckleby), 117:1 [objektid=10086901170001]			V	RAK		sten		runsten		B 1070; L 1315	$=SRI 1 plansch IX fig. 13; BN 23	
Öl 14 †$ 	Södra Möckleby kyrkogård	Södra Möckleby sn	Gräsgårds hd	Mörbylånga		6247800.1538090			0869 (Södra Möckleby)			V	?		sten	ljusgrå kalksten	fragment av runsten			$=BN 24; ATA Dnr 430/37	
Öl 15 †$ 	Södra Möckleby kyrkogård	Södra Möckleby sn	Gräsgårds hd	Mörbylånga		6247800.1538090			0869 (Södra Möckleby)			V	RAK		sten		runsten	Runföljden <iliuri> tolkas i ÖlR som Abiorn.	L 1314	$=SRI 1 plansch X fig. 15; $=NRL:299; BN 25	
Öl 16 † 	Gräsgårds kyrkogård	Gräsgårds sn	Gräsgårds hd	Mörbylånga		6242620.1543480			0809 (Gräsgård)			V	Pr2		sten		runsten		B 1058; L 1313	BN 27	
Öl 17 † 	Seby	Segerstads sn	Gräsgårds hd	Mörbylånga		6247000.1545000			0865 (Segerstad)			V	RAK		sten		runsten		B 1062; L 1312	BN 29	
Öl 18 $ 	Seby	Segerstads sn	Gräsgårds hd	Mörbylånga		6246416.1544878			0865 (Segerstad), 31 [objektid=10086500310001]			V	Pr2 - Pr3?		sten	grå ortocerkalksten	runsten		B 1061; L 1311	$=ATA Dnr 4689/43; BN 30	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl18&showthumbnails=true
Öl 19 † 	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga		6258229.1547014			0819 (Hulterstad)			V	Pr4		sten		runsten	Reliefhuggen ornamentik.	B 1069; L 1568	BN 31	
Öl 20 † 	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga		6258229.1547014			0819 (Hulterstad)			V	?		sten		runsten			BN 32	
Öl 21 $ 	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	I vapenhuset.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V	Pr3 - Pr4?	Nilsson attribuerar stenen till Korp.	sten	mörkgrå kalksten	runsten	Ornamentiken i relief.		$=ATA Dnr 4684/43; BN 33	
Öl 22 $ 	Hulterstads by	Hulterstads sn	Möckleby hd	Mörbylånga	I vapenhuset.	6257925.1547000		6258229.1547014	0819 (Hulterstad), 75 (nuv. plats) [objektid=10081900750001]			V	Pr3?	Nilsson attribuerar stenen till Korp.	sten	ljusgrå kalksten	fragment av runsten	Ornamentiken är i relief.		$=ATA Dnr 4684/43; SRI 1 s. 148; BN 34	
Öl 23 †$ 	Stenåsa kyrkogård	Stenåsa sn	Möckleby hd	Mörbylånga		6265500.1548960			0867 (Stenåsa)			V	Pr1 - Pr2		sten		runsten	Namnet ristat byrkeR förs i Brates ordförteckning upp under ByrghgeR.	B 1068, B 1075; L 1309	$=NRL art. Sigbiorn; BN 50	
Öl 24 †$ 	Stenåsa kyrkogård	Stenåsa sn	Möckleby hd	Mörbylånga		6265500.1548960			0867 (Stenåsa)			V	?		sten		runsten		L 1310	$=SRI 1 plansch XIV fig. 24, s. 145ff; BN 51	
Öl 25 $ 	Dröstorp	Sandby sn (nu Gårdby sn)	Möckleby hd	Mörbylånga		6274345.1547035			0863 (Sandby), 61 (tid. nr) [objektid=10086300610001]; 0811 (Gårdby), 74 [objektid=10081100740001]			V	RAK		sten	ljusröd kalksten	runsten		L 1308	$=ATA Dnr 4698/43; $=SRI 1 plansch XV, fig. 25B; BN 54	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl25&showthumbnails=true
Öl 26  	Sandby kyrkogård	Sandby sn	Möckleby hd	Mörbylånga		6272863.1551353			0863 (Sandby), 17:1 [objektid=10086300170001]			V	Pr4	Samma som gjort Öl 27.	sten	grå kalksten	runsten	Parsten till Öl 27.	B 1066; L 1586, L 1587	ATA Dnr 4694/43; ATA Dnr 321-4036-2002; BN 55	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl26&showthumbnails=true
Öl 27 $ 	Sandby kyrkogård	Sandby sn	Möckleby hd	Mörbylånga		6272850.1551350			0863 (Sandby), 17:2 [objektid=10086300170002]			V	Pr4	Samma som gjort Öl 26.	sten	grå kalksten	runsten	Parsten till Öl 26.	B 1067; L 1586, L 1587	$=ATA Dnr 321-4036-2002; ATA Dnr 4694/43; BN 56	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl27&showthumbnails=true
Öl 28 $ 	Gårdby kyrkogård	Gårdby sn	Möckleby hd	Mörbylånga		6275109.1551101			0811 (Gårdby), 17 [objektid=10081100170001]		A2; B2; C1; D1; E3 (?); F3; G4	V	Pr2?	Brand (S)	sten	grå kalksten	runsten		L 1307	$=Jansson 1947:193 (ANF); $=Salberger 1995b; BN 58	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl28&showthumbnails=true
Öl 29 † 	Gårdby kyrkogård	Gårdby sn	Möckleby hd	Mörbylånga		6275120.1551070			0811 (Gårdby)			V	?		sten		fragment av runsten			BN 59	
Öl 30 †$ 	Norra Möckleby kyrkogård	Norra Möckleby sn	Möckleby hd	Mörbylånga		6280360.1553610			0851 (Norra Möckleby)			V	?		sten		fragment av runsten			$=SRI 1 plansch XIX fig. 30; BN 60	
Öl 31 $ 	Runstens kyrka	Runstens sn	Runstens hd	Borgholm		6286146.1554808			0860 (Runsten), 25 [objektid=10086000250001]			V	Pr3		sten	gråbrun kalksten	runsten		B 1056; L 1303	$=ATA Dnr 4693/43; BN 62	
Öl 32 †SENTIDA 	Runsten, Bjärby?	Runstens sn	Runstens hd	Borgholm		6287745.1555230			0860 (Runsten)			Sentida 1600-t			sten		runsten	"Innehåller ett 30-tal runor. En läsning efter Spinks teckning (se ÖlR plansch XIX) blir -tu uar ain iarl bahlanþe…ha þøþþe …s… sial hans. I ÖlR föreslås tolkningen ""Hjørtvar en jarl på Ölande fanns; han dödde; Gud hjälpe själ hans."""			
Öl 33 †$ 	Runstens kyrkoby	Runstens sn	Runstens hd	Borgholm		6286318.1554662			0860 (Runsten), 26 [objektid=10086000260001]	kortkvist		V	RAK		sten		fragment av runsten		L 1304	$=SRI 1 plansch XXI fig. 33b; BN 61	
Öl 34 †SENTIDA 	Runstens kyrka	Runstens sn	Runstens hd	Borgholm		6286150.1554760			0860 (Runsten)			Sentida ca 1550			sten		inskrift på pelare	Målad?		BN 63	
Öl 35 †$SENTIDA 	Runstens kyrka	Runstens sn	Runstens hd	Borgholm		6286150.1554760			0860 (Runsten)			Sentida ca 1550			övrigt		mässbok tryckt 1541			$=SRI 1 plansch XXI fig. 35; BN 64	
Öl 36 $ 	Bjärby	Runstens sn	Runstens hd	Borgholm		6287450.1555124			0860 (Runsten), 27 [objektid=10086000270001]		A4; B1; C9, C10; D5; E5; F3; 0	V	Pr2 - Pr3		sten	grå kalksten	runsten		B 1055, B 1079; L 1306	$=SRI 1 s. 100; $=ATA Dnr 4690/43; $=Peterson 1981:22; BN 68	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl36&showthumbnails=true
Öl 37 $ 	Lerkaka	Runstens sn	Runstens hd	Borgholm		6288310.1555360			0860 (Runsten), 33 [objektid=10086000330001]			V	Pr3		sten	grå ortocerkalksten	runsten		B 1054; L 1305	$=ATA Dnr 4692/43; §Q: $=Salberger 1994a; BN 69	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl37&showthumbnails=true
Öl 38 $ 	Lerkaka	Runstens sn	Runstens hd	Borgholm		6288553.1555531			0860 (Runsten), 30 [objektid=10086000300001]			V	?		sten	grå kalksten	fragment av runsten			$=SRI 1 s. 103; $=ATA Dnr 4691/43; BN 70	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl38&showthumbnails=true
Öl 39 $ 	Bägby bro	Gärdslösa sn	Runstens hd	Borgholm		6294638.1557215			0813 (Gärdslösa), 97 [objektid=10081300970001]			V	Pr2		sten	grå kalksten	runsten		B 1060; L 1301	$=ATA Dnr 4697/43; BN 72	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl39&showthumbnails=true
Öl 40 $ 	Bägby	Gärdslösa sn	Runstens hd	Borgholm		6294680.1557245			0813 (Gärdslösa), 98 [objektid=10081300980001]			V	Pr2		sten	grå kalksten	runsten		B 1059; L 1302	$=ATA Dnr 4696/43; BN 73	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl40&showthumbnails=true
Öl 41 †$ 	Bägby	Gärdslösa sn	Runstens hd	Borgholm		6294068.1557129			0813 (Gärdslösa), 132:2 [objektid=10081301320002]			V	Pr3		sten		runsten		B 1057; L 1300	$=SRI 1 plansch XXVI fig. 41; BN 74	
Öl 42 †$ 	bron vid Gärdslösa kyrka	Gärdslösa sn	Runstens hd	Borgholm	Vid bron vid kyrkan.	6296547.1557031			0813 (Gärdslösa), 161 [objektid=10081301610001]			V	RAK?		sten		runsten		L 1299	$=SRI 1 plansch XXVI fig. 42; BN 75	
Öl 43 $ 	Gärdslösa kyrka	Gärdslösa sn	Runstens hd	Borgholm	I tornrummet.	6296674.1556961			0813 (Gärdslösa), 79 [objektid=10081300790001]			V	Pr3 - Pr4	Oddvar (S)	sten	ljusblå kalksten	3 fragment av runsten			$=ATA Dnr 4699/43; $=ATA Dnr 423-2541-1996; BN 76	
Öl 44  	Bo	Bredsätra sn (nu Bredsättra)	Runstens hd	Borgholm	Skedemosse, Köpings sn	6301200.1559250		6301566.1557147	0790 (Bredsättra); 0834 (Köping), 404 (nuv. plats) [objektid=10083404040001]			V	Pr2?		sten	rödaktig kalksten	fragment av runsten			BN 79	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl44&showthumbnails=true
Öl 45 † 	Långbro	Räpplinge sn	Slättbo hd	Borgholm		6301650.1554900			0862 (Räpplinge)			V	?		sten		fragment av runsten		L 1298	BN 80	
Öl 46 $ 	Tingsflisan	Köpings sn	Slättbo hd	Borgholm		6305905.1555861			0834 (Köping), 42 [objektid=10083400420001]			V	Pr2?		sten	grå kalksten	runsten		B 1078; L 1297	$=ATA Dnr 4702/43; BN 86	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl46&showthumbnails=true
Öl 47 $ 	Köpings kyrkogård	Köpings sn	Slättbo hd	Borgholm	I vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]		A1; B1; C9, C10; D3; E4, E7; F3; 0	V	Pr4		sten	gråvit sandsten	gavelsten till kista	Ornamentik i relief. Hör ihop med Öl Köping5.		$=Köping4; ATA Dnr 4688/43, 3430/57 nr 68; BN 164	
Öl 48 $ 	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm	Till vänster om sakristidörren.	6306078.1555725			0834 (Köping), 185 [objektid=10083401850001]			V	?		sten	gulgrå kalksten	fragment av runsten	Runorna står på stenens smalsida.	L 1294	§P: $=Fv 1974:214, http://fornvannen.se/pdf/1970talet/1974_208.pdf; §Q: $=Köping63; BN 88	
Öl 49 †$ 	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm		6306070.1555680			0834 (Köping)	kortkvist-s		V	?		sten		runsten		L 1296	$=Köping67; BN 89	
Öl 50 $UTGÅR 	Köpings kyrka	Köpings sn	Slättbo hd	Borgholm		6306070.1555680			0834 (Köping)						sten		runsten	Ingen inskrift anges i källan. Har sannolikt återfunnits under 1900-talet bland Öl Köping-inskrifterna.	L 1295	$=Owe 2002:8	
Öl 51 $ 	Köpings kyrkogård	Köpings sn	Slättbo hd	Borgholm	I tornet.	6306077.1555678			0834 (Köping), 172 [objektid=10083401720001]			V	?		sten	röd kalksten	fragment av runsten			$=Köping6; ATA Dnr 3430/57 nr 65; BN 90	
Öl 52 $ 	Köpings kyrkogård	Köpings sn	Slättbo hd	Borgholm	SHM (25339:1, 15893:1) deponerad i vapenhuset.	6306080.1555677			0834 (Köping), 168 [objektid=10083401680001]			V	Pr4?		sten	gråbrun kalksten	2 fragment av runsten	Reliefhuggen.		$=Köping53; ATA Dnr 3430/57 nr 1 & 42; BN 91, BN 119	
Öl 53 M 	Alböke kyrkogård	Alböke sn	Slättbo hd	Borgholm	Kalmar slott	6313870.1559570			0783 (Alböke)			M ca 1150 eller senare			sten		gravhäll			BN 166	
Öl 54 †$M 	Löts kyrka	Löts sn	Slättbo hd	Borgholm	På pelare i högkoret.	6310650.1562890			0843 (Löt)			M			puts	kalkputs	målad eller ristad			$=SRI 1 s. 121, plansch XXXI fig. 54; BN 168	
Öl 55 †$ 	Högby kyrka	Högby sn	Åkerbo hd	Borgholm		6338240.1573270			0822 (Högby)	stuprunor		V	?		sten		runsten		L 1293	$: Läst efter Linné (se SRI 1 s. 122) och Wallman 1820 (se Sveriges Kyrkor vol. 119 s. 181); BN 169	
Öl 56 $ 	Källa ödekyrka	Källa sn	Åkerbo hd	Borgholm	2 fragment på Kalmar läns museum (KLM 45211:1-2), ett i sakristian (SHM 29400:V:19).	6332312.1571584			0833 (Källa), 164 [objektid=10081900750001], 83 (tid. nr) (gamla kyrkan) [objektid=10083300830001]	R och s är kortkvistrunor	A7; B3; C9, C10; D3; 0; F3; G6	V	Pr3		sten	grå kalksten	runsten	Endast tre fragment bevarade.	B 1077; L 1291	$=ATA Dnr 351-3803-2013, http://kulturarvsdata.se/raa/samla/html/6326; ATA Dnr 4706/43; $=SK128;288; $=ATA Dnr 4022/71; $=SRI 1, plansch XXXII, fig 56A, 56D; BN 170	http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl56&showthumbnails=true
Öl 57 †$ 	Källa ödekyrka	Källa sn	Åkerbo hd	Borgholm		6332312.1571584			0833 (Källa)			V	Pr3 - Pr4?		sten		fragment av runsten	Ornamentik i relief.	L 1292	$=SRI 1, plansch XXXII, fig 57; BN 171	
Öl 58 † 	Böda kyrka	Böda sn	Åkerbo hd	Borgholm		6347210.1575720			0792 (Böda)			V	Pr3		sten		runsten			BN 175	
Öl 59 † 	Resmo kyrka	Resmo sn	Algutsrums hd	Mörbylånga		6268390.1539280			0858 (Resmo)			V			sten	kalksten	2 fragment av runsten		L 1321, L 1322	SRI 1 s. 45, 150; BN 8	
Öl 60 †M 	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga		6258229.1547014			0819 (Hulterstad)			M			metall	järn	dörrbeslag		L 1946	SRI 1 s. 68; L 1946; BN 49	
Öl AA29;33 M 	Källa ödekyrka	Källa sn	Åkerbo hd	Borgholm	På insidan av södra långhusmuren.	6332300.1571550	ja		0833 (Källa)			M			puts	kalkputs	putsinskrift	Läses från höger till vänster.		BN 174	
Öl ACTARC37;211 $M 	Eketorp	Gräsgårds sn	Gräsgårds hd	Mörbylånga	SHM (31597:P17:113)	6241046.1542160			0809 (Gräsgård), 45 [objektid=10080900450001]			M?			sten	skiffer	platta	Påträffat 1965. Har tidigare ansetts ha en urnordisk inskrift.		$=ATA Dnr 322-705-2007; BN 28; <http://www.runenprojekt.uni-kiel.de/abfragen/standard/deutung2_eng.asp?findno=251&ort=Eketorp&objekt=platta>	
Öl ATA430/37;16  	Resmo kyrka	Resmo sn	Algutsrums hd	Mörbylånga		6268584.1539618		6268409.1539317	0858 (Resmo), 88:1 (fyndplats) [objektid=10085800880001], 88:2 (nuv. plats) [objektid=10085800880002]			V			sten	grå kalksten	fragment av runsten			BN 9	
Öl ATA4684/43A $ 	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	I vapenhuset, stulen.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V		Nilsson anser stenen vara ristad av Korp.	sten	ljusgrå kalksten	runsten			$=ATA Dnr 411-4568-1998; $=Lagman 1990:47f; BN 37	
Öl ATA4684/43B $ 	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	I vapenhuset.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V		Nilsson attribuerar stenen till Korp.	sten	blågrå kalksten	fragment av runsten			$=ATA Dnr 411-4568-1998; BN 40	
Öl ATA4684/43C $ 	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	brungrå kalksten	2 fragment av runsten			$=ATA Dnr 411-4568-1998; BN 38, 39	http://kmb.raa.se/cocoon/bild/object_list_simple?query=ÖlNf1935&showthumbnails=true
Öl ATA4684/43D  	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V		Nilsson attribuerar stenen till Assar.	sten	brungrå kalksten	2 fragment av runsten			BN 41	
Öl ATA4684/43E $ 	Hulterstads prästgård	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258175.1547975		6258229.1547014	0819 (Hulterstad), 75 (nuv. plats) [objektid=10081900750001]			V		Nilsson anser stenen vara ristad av Assar.	sten	kalksten	fragment av runsten			$=ATA Dnr 411-4568-1998; $=Källström 2007a:344f; BN 42	
Öl ATA4686/43 $ 	Åkerby	Runstens sn	Runstens hd	Borgholm	Vid Himmelsberga, Långlöts sn.	6283980.1553825		6290650.1555500	0860 (Runsten)			V	?		sten	grå kalksten	fragment av runsten			$=ATA Dnr 411-4652-1998; BN 66	http://kmb.raa.se/cocoon/bild/object_list_simple?query=ÖlNf1926&showthumbnails=true
Öl ATA4700/43  	Gärdslösa kyrka	Gärdslösa sn	Runstens hd	Borgholm	I tornrummet.	6296674.1556961			0813 (Gärdslösa)			V			sten	rödgrå kalksten	fragment av runsten			BN 77	
Öl ATA4701/43  	Alböke kyrkogård	Alböke sn	Slättbo hd	Borgholm		6313876.1559575			0783 (Alböke), 48 [objektid=10078300480001]			V	Pr1 - Pr2? [Gräslund muntligt]		sten	rödvit kalksten	runsten			BN 167	http://kmb.raa.se/cocoon/bild/object_list_simple?query=ÖlNf1932&showthumbnails=true
Öl ATA4703/43 $ 	Solberga (Tingsdal)	Köpings sn	Slättbo hd	Borgholm		6306058.1555224			0834 (Köping), 40 [objektid=10083400400001]			V	RAK? [Gräslund muntligt]		sten	ljusröd sandsten	runsten			§P: ATA Dnr 4703/43; §Q: $=Ljunggren 1933:73 (ANF); BN 92	http://kmb.raa.se/cocoon/bild/object_list_simple?query=ÖlNf%201909&showthumbnails=true
Öl ATA4705/43  	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga	Kalmar slott (KLM 12231), försvunnet.	6258231.1547009			0819 (Hulterstad)			V			sten	grå kalksten	fragment av runsten	Kan inte återfinnas i museisamlingarna.		BN 43	
Öl ATA4375/56 $ 	Hulterstads prästgård	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258175.1547975		6258229.1547014	0819 (Hulterstad), 75 (nuv. plats) [objektid=10081900750001]			V			sten	kalksten	2 fragment av runsten	Reliefhuggen.		$=ATA Dnr 411-4568-1998; BN 45	
Öl ATA4376/56A $ 	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	fragment av runsten	Reliefhuggen.		$=ATA Dnr 411-4568-1998; BN 36	
Öl ATA4376/56B $ 	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	3 fragment av runsten	Reliefhuggen.		$=ATA Dnr 411-4568-1998; $=Läst efter foto; BN 44	
Öl ATA4377/56A  	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I vapenhuset.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V	?		sten	kalksten	fragment av runsten	Reliefhuggen. Owe läser: ...neimoas^u--ek-rkra--ua · (u)... (ATA Dnr 411-4568-1998).		BN 47	http://kmb.raa.se/cocoon/bild/object_list_simple?query=ÖlNf1951&showthumbnails=true
Öl ATA4377/56B  	Hulterstads kyrkogård	Hulterstads sn	Möckleby hd	Mörbylånga		6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	fragment av runsten	Reliefhuggen. Endast svaga spår av ornamentik och av ett par runor.		BN 48	
Öl ATA4378/56 $ 	Triberga, Kristinero	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6260250.1547450		6258229.1547014	0819 (Hulterstad), 75 (nuv. plats) [objektid=10081900750001]			V			sten	kalksten	fragment av runsten	Reliefhuggen.		$=ATA Dnr 411-4568-1998; BN 46	
Öl ATA4063/60  	Gårdstorp	Södra Möckleby sn	Gräsgårds hd	Mörbylånga	Kalmar slott (KLM 28352)	6248301.1538058			0869 (Södra Möckleby), 91 [objektid=10086900910001]			V			sten	kalksten	fragment av runsten			BN 26	
Öl ATA4064/60A $ 	Mörbylånga kyrka	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265963.1536554			0849 (Mörbylånga), 38 [objektid=10084900380001]			V		Ulf (S)	sten	grå kalksten	fragment av runsten			$=ATA Dnr 411-4652-1998; BN 15	
Öl ATA4064/60B  	Mörbylånga kyrka	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265963.1536554			0849 (Mörbylånga), 38 [objektid=10084900380001]			V			sten	grå kalksten	fragment av runsten			BN 17	
Öl ATA4064/60C  	Mörbylånga kyrka	Mörbylånga sn	Algutsrums hd	Mörbylånga		6265963.1536554			0849 (Mörbylånga), 38 [objektid=10084900380001]			V			sten	grå kalksten	fragment av runsten			BN 16	
Öl ATA4976/70 $ 	Långlöts kyrka	Långlöts sn	Runstens hd	Borgholm		6290610.1556250			0841 (Långlöt)			V			sten	röd kalksten	2 fragment av runsten	Endast ornamentik på fragmenten.		$=Material på Runverket, Raä; BN 71	
Öl ATA3960/71  	Mörbylånga by (12:3)	Mörbylånga sn	Algutsrums hd	Mörbylånga	I kyrkan.	6266075.1536570		6265940.1536510	0849 (Mörbylånga)			V			sten	grå kalksten	fragment av runsten			BN 14	
Öl ATA2056/75A =Öl_Köping9 																					
Öl ATA2056/75B =Öl_Köping74 																					
Öl ATA2056/75C =Öl_Köping74 																					
Öl ATA6371/83  	Solberga 4:8	Köpings sn	Slättbo hd	Borgholm		6306175.1555450			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			V?			metall	koppar	bleck	Runor och lönnrunor i tre resp. två rader på båda sidorna.		Gustavson 2004:68	
Öl ATA423-2541-1996  	Solberga 4:8	Köpings sn	Slättbo hd	Borgholm		6306175.1555450			0834 (Köping), 216 (stadslager) [objektid=10083402160001]			V?			metall	brons	bleck	Hittat 1990. Fyndnr 447. Runliknande tecken på båda sidor. Spår finns av runorna f, o och h.		Gustavson 2004:68; Material på Runverket, Raä	
Öl ATA411-4568-1998A  	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	fragment av runsten	Runorna utgör ev. delar av ornamentiken.			
Öl ATA411-4568-1998B $ 	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	fragment av runsten	Reliefhuggen.		$=Läst efter foto	
Öl ATA411-4568-1998C  	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	fragment av runsten				
Öl ATA411-4568-1998D  	Hulterstads kyrka	Hulterstads sn	Möckleby hd	Mörbylånga	I tornkammaren.	6258229.1547014			0819 (Hulterstad), 75 [objektid=10081900750001]			V			sten	kalksten	fragment av runsten	Reliefhuggen.			
